show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s2764,Movie,Dragons: Rescue Riders: Hunt for the Golden Dragon,TJ Sullivan_ Greg Rankin,Noah Kaye Bentley_ Brennley Brown_ Zach Callison_ Nicolas Cantu_ Skai Jackson_ Marsai Martin_ Andre Robinson_ Carlos Alazraqui_ Jeff Bennett_ Grey Griffin_ Mary Elizabeth McGlynn,United States,27-Mar-20,2020,TV-Y,46 min,Children & Family Movies_ Comedies,It's the treasure hunt of a lifetime for the Rescue Riders_ who must race to find a precious golden dragon egg and protect it from evil pirates.
s1656,Movie,Dragons: Rescue Riders: Huttsgalor Holiday,Greg Rankin_ TJ Sullivan,Noah Kaye Bentley_ Brennley Brown_ Zach Callison_ Nicolas Cantu_ Skai Jackson_ Marsai Martin_ Andre Robinson_ Carlos Alazraqui_ Roshon Fegan_ Grey Griffin_ Brad Grusnick_ Sam Lavagnino_ John C. McGinley_ Roger Craig Smith,United States,24-Nov-20,2020,TV-Y,46 min,Children & Family Movies_ Comedies,Snowfall marks the start of Odinyule — the Viking holiday of giving! But crazy weather might cancel the tradition unless the Rescue Riders can swoop in.
s2209,Movie,Dragons: Rescue Riders: Secrets of the Songwing,Greg Rankin_ TJ Sullivan,Noah Kaye Bentley_ Brennley Brown_ Zach Callison_ Nicolas Cantu_ Skai Jackson_ Marsai Martin_ Andre Robinson_ Carlos Alazraqui_ Renée Elise Goldsberry,United States,24-Jul-20,2020,TV-Y,46 min,Children & Family Movies_ Comedies,When a musical dragon with a beautiful voice hypnotizes the dragons and people of Huttsgalor_ the Rescue Riders have to find a way to break the spell.
s6647,TV Show,Dramaworld,,Liv Hewson_ Sean Dulake_ Justin Chon_ Noo-Ri Bae_ Sa-hee Kim_ Jimmy Shubert,United States_ South Korea_ China,23-May-16,2016,TV-14,1 Season,Romantic TV Shows_ TV Comedies_ TV Dramas,"A huge fan of a Korean TV drama is transported to a magical realm where she has the power to alter her favorite show's story line as a ""Facilitator."""
s6648,Movie,Dream Big: Engineering Our World,Greg MacGillivray,Jeff Bridges,United States,1-Jul-18,2017,TV-G,42 min,Documentaries,Narrated by Jeff Bridges_ this compelling documentary examines some incredible achievements of engineering from across the globe.
s6649,Movie,Dream Boat,Tristan Ferland Milewski,,Germany,1-Dec-17,2017,TV-MA,92 min,Documentaries_ International Movies_ LGBTQ Movies,On a cruise for gay men_ five passengers of different nationalities take a break from their families and cultures to party and reflect on life.
s1450,TV Show,Dream Home Makeover,,,United States,1-Jan-21,2021,TV-G,2 Seasons,Reality TV,Dreams come true for real families looking for the perfect home tailored to their own unique style_ thanks to Shea and Syd McGee of Studio McGee.
s791,Movie,Dream/Killer,Andrew Jenks,Bill Ferguson_ Ryan Ferguson,United States,2-Jun-21,2015,TV-MA,109 min,Documentaries,This riveting crime doc follows Bill as he confronts America's broken judicial system after his son is falsely sentenced to 40 years in prison.
s1894,TV Show,DreamWorks Happy Holidays from Madagascar,,Tom McGrath_ Chris Miller_ Christopher Knights_ John DiMaggio_ Ben Stiller_ Chris Rock_ David Schwimmer_ Jada Pinkett Smith_ Cedric the Entertainer_ Andy Richter_ Carl Reiner,United States,2-Oct-20,2005,TV-PG,1 Season,Kids' TV_ TV Comedies,Madagascar goes wild with holiday spirit in this set of Valentine's Day and Christmas-themed tales featuring everyone's favorite animal characters.
s4291,TV Show,DreamWorks Holiday Classics,,Ben Stiller_ David Schwimmer_ Chris Rock_ Jada Pinkett Smith_ Jay Baruchel_ Gerard Butler_ Craig Ferguson_ America Ferrera_ Eddie Murphy_ Mike Myers_ Antonio Banderas_ Cameron Diaz,United States,16-Dec-18,2011,TV-PG,1 Season,Kids' TV_ TV Comedies,Join your DreamWorks friends for these four holiday specials_ featuring Shrek and Donkey_ Hiccup and Toothless_ and the wacky animals from Madagascar.
s5141,Movie,DreamWorks Home: For the Holidays,,Rachel Crow_ Mark Whitten_ Kelly Clarkson_ Ana Ortiz_ Ben Schwartz_ Ron Funches_ Matt Jones,United States,1-Dec-17,2017,TV-Y,46 min,Children & Family Movies_ Comedies_ Music & Musicals,Oh takes it upon himself to introduce Christmas joy to his fellow Boovs. Unfortunately_ his well-meaning mission nearly destroys the city.
s3006,TV Show,DreamWorks How to Train Your Dragon Legends,,Jay Baruchel_ Craig Ferguson_ America Ferrera_ Gerard Butler,United States,20-Jan-20,2011,TV-PG,1 Season,Kids' TV_ TV Action & Adventure_ TV Sci-Fi & Fantasy,In this set of shorts_ Hiccup and the gang learn about different species of dragons. Then_ Gobber goes in search of the Boneknapper Dragon.
s3692,TV Show,DreamWorks Kung Fu Panda Awesome Secrets,,Jack Black_ Dustin Hoffman_ Dennis Haysbert_ Paul Scheer_ Randall Duk Kim_ David Cross_ Jessica DiCicco_ Jaycee Chan_ Angelina Jolie_ Seth Rogen_ Tony Leondis,United States,1-Jul-19,2008,TV-PG,1 Season,Kids' TV_ TV Action & Adventure_ TV Comedies,In this pair of adventures_ Po tells the story of how masters Thundering Rhino_ Storming Ox and Croc met and takes on Shifu's biggest challenge yet.
s2903,TV Show,DreamWorks Shrek's Swamp Stories,,Mike Myers_ Eddie Murphy_ Cameron Diaz_ Antonio Banderas_ Kristen Schaal_ Simon Cowell_ Gilles Marini_ Charlotte Newhouse_ Dean Edwards_ Cody Cameron_ Christopher Knights_ Conrad Vernon,United States,17-Feb-20,2008,TV-PG,1 Season,Kids' TV_ TV Action & Adventure_ TV Comedies,Shrek celebrates Halloween_ Puss in Boots is captured by soldiers_ and the gang participates in a kingdom-wide singing competition.
s4479,TV Show,DreamWorks Spooky Stories,,Antonio Banderas_ Hugh Laurie_ Mike Myers_ Reese Witherspoon_ Seth Rogen_ Kristen Schaal_ Dean Edwards,United States,25-Oct-18,2009,TV-PG,1 Season,Kids' TV_ TV Comedies,Shrek dares his friends to bring on the scary with ghost stories told in a haunted castle. Later_ Ginormica and the Monsters face alien pumpkins.
s2642,TV Show,DreamWorks Spooky Stories: Volume 2,,Seth Rogen_ Will Arnett_ Hugh Laurie_ Will Ferrell_ David Cross_ Sean Bishop_ Kiefer Sutherland_ Cody Cameron_ Aron Warner,,24-Apr-20,2011,TV-PG,1 Season,Kids' TV_ TV Comedies,"The Shrek characters parody the music video ""Thriller""; B.O.B. and pals battle zombie carrots; and Megamind faces the effects of the Button of Doom."
s570,Movie,Dreamy Eyes,Victor Vu,Tran Nghia_ Truc Anh_ Tran Phong_ Khanh Van_ Nguyen Lam Thao Tam_ Hung Vo_ Pham Dinh Thai Ngan_ Lam Bao Danh_ Nguyen Ngoc Huyen Dieu_ Truong Hoang Hanh Thy_ Mona Bao Tien_ Mai Cat Vi,Vietnam,1-Jul-21,2019,TV-14,117 min,Dramas_ International Movies_ Romantic Movies,Through heartbreak and betrayal_ Ngan's unrequited love for his childhood best friend Hà La endures for a generation in this sweeping romance.
s6650,Movie,Dries,Reiner Holzemer,Dries Van Noten,Germany_ Belgium,1-Jan-18,2017,TV-PG,89 min,Documentaries_ International Movies,This documentary explores the intense passion and distinctive talent that make Dries Van Noten one of the most unique fashion designers in the world.
s2599,TV Show,DRIFTING DRAGONS,,Tomoaki Maeno_ Sora Amamiya_ Soma Saito_ Kana Hanazawa_ Junichi Suwabe_ Tomokazu Seki_ Takahiro Sakurai_ Kohsuke Toriumi_ Rie Kugimiya_ Kentaro Kumagai_ Makoto Furukawa_ Takashi Matsuyama_ Shunsuke Takeuchi_ Yuto Uemura_ Chinatsu Akasaki_ Junya Enoki_ Kazuhiko Inoue_ Hiroo Sasaki,Japan,30-Apr-20,2020,TV-14,1 Season,Anime Series_ International TV Shows,Dragons are on the menu as the crew of the airship Quin Zaza sets out on a hunt. If they fail_ empty stomachs will be the least of their worries.
s3561,Movie,Drink Drank Drunk,Yeung Yat-Tak,Carlos Chan_ Ken Hung_ Deep Ng_ Michelle Wai_ Yee Tong_ Felix Lok_ Kin-Yan Lee,Hong Kong,24-Aug-19,2016,TV-MA,92 min,Comedies_ International Movies,Too hungover to report as a witness in a criminal trial the day after his birthday party_ a young man and his pals do some unexpected soul-searching.
s2273,Movie,Drishyam,Nishikant Kamat,Ajay Devgn_ Shriya Saran_ Tabu_ Rajat Kapoor_ Ishita Dutta_ Mrunal Jadhav_ Prasanna Ketkar_ Yogesh Sonam_ Prathamesh Parab_ Rishabh Chaddha,India,5-Jul-20,2015,TV-14,162 min,Dramas_ International Movies_ Thrillers,An unexceptional man becomes a murder suspect when the son of a high-ranking police official who harassed his daughter goes missing.
s3335,Movie,Drive,Tarun Mansukhani,Jacqueline Fernandez_ Sushant Singh Rajput_ Boman Irani_ Pankaj Tripathi_ Vikramjeet Virk_ Sapna Pabbi_ Vibha Chhibber_ Kaustubh Kumar,India,1-Nov-19,2019,TV-14,119 min,Action & Adventure_ International Movies,A notorious thief allies with a street racer for a grand heist involving an elaborate game of deceit with authorities_ who have their own dirty secrets.
s6651,Movie,Driven to Dance,,Juliet Doherty_ Kaitlyn Black,United States,16-Jan-19,2018,TV-PG,99 min,Dramas,A young dancer grapples with her dream to join a famed ballet company against the wishes of her mother_ who pushes her to pursue a more practical path.
s621,TV Show,Droppin' Cash: Los Angeles,,,United States,30-Jun-21,2019,TV-MA,1 Season,Reality TV,This Complex series follows the paper trail of musicians and athletes in Los Angeles as they blow through stacks on the finer things in life.
s4779,TV Show,Drug Lords,,,United States,10-Jul-18,2018,TV-MA,2 Seasons,Crime TV Shows_ Docuseries,Witness the stories of history's most notorious kingpins_ their terrifying enforcers_ and the men and women who've sworn to bring them down.
s3374,TV Show,Drug Squad: Costa del Sol,,Hugo Silva_ Álvaro Cervantes_ Miki Esparbé_ Jesús Castro_ Sara Sálamo_ Jorge Usón_ Cayetana Cabezas_ Pablo Béjar_ Marco Cáceres_ Olivia Delcán_ Jorge Suquet_ Daniel Holguín_ Joaquín Galletero_ Carolina Yuste_ Ana Fernández,Spain,25-Oct-19,2019,TV-MA,1 Season,Crime TV Shows_ International TV Shows_ Spanish-Language TV Shows,Four intrepid and impulsive police officers form a special narcotics unit to combat the birth of drug trafficking on Spain's Costa del Sol in the 1970s.
s6652,TV Show,Drugs_ Inc.,,Mike Secher,United States,23-Mar-19,2015,TV-MA,1 Season,Crime TV Shows_ Docuseries,This absorbing documentary series follows the entire supply chain of the illicit drug trade_ tracing its production_ export_ sale and consumption.
s2116,Movie,Drunk Parents,Fred Wolf,Alec Baldwin_ Salma Hayek_ Jim Gaffigan_ Joe Manganiello_ Treat Williams_ Ben Platt_ Aasif Mandvi_ Natalia Cigliuti,United States,18-Aug-20,2019,R,97 min,Comedies,Two desperate parents go to extreme lengths to hide their dire financial straits from their daughter and friends.
s3833,Movie,Dry Martina,Che Sandoval,Antonella Costa_ Patricio Contreras_ Geraldine Neary_ Pedro Campos_ Álvaro Espinosa,Chile_ Argentina,11-May-19,2018,TV-MA,100 min,Dramas_ Independent Movies_ International Movies,An odd encounter with a fan and a tryst with that fan's ex-boyfriend leads a sexually adventurous singer on an escapade in Chile.
s1964,Movie,DTC Yukemuri Junjo Hen From High & Low,Norihisa Hiranuma,Kenjiro Yamashita_ Kanta Sato_ Taiki Sato_ Masayasu Yagi_ Kousei Amano_ Miu Arai_ Taro Suruga_ Yuko Fueki_ Tomoki Hirose_ Ryo Matsuda_ Masaru Mizuno_ Shunsuke Tanaka_ Fumihiko Tachiki_ Eri Murakawa_ Katsuya Kobayashi,Japan,20-Sep-20,2018,TV-PG,102 min,Dramas_ International Movies,Dan_ Tettsu and Chiharu leave the battles of the SWORD district behind for a carefree road trip adventure and end up working in a hot spring resort.
s4795,Movie,Duck Butter,Miguel Arteta,Alia Shawkat_ Laia Costa_ Mae Whitman_ Hong Chau_ Kate Berlant_ Lindsay Burdge_ Kumail Nanjiani_ Mark Duplass_ Jay Duplass_ Jenny O'Hara,United States,1-Jul-18,2018,TV-MA,94 min,Dramas_ Independent Movies_ LGBTQ Movies,Wary of dishonesty in relationships_ two young women embark on a 24-hour experiment on intimacy_ but their romance flounders as the clock winds down.
s4761,Movie,Duck Duck Goose,Chris Jenkins,Jim Gaffigan_ Zendaya_ Lance Lim_ Greg Proops_ Reggie Watts_ Carl Reiner_ Jennifer Grey_ Stephen Fry_ Diedrich Bader_ Natasha Leggero_ Craig Ferguson_ Rick Overton,China_ United States_ United Kingdom,20-Jul-18,2018,PG,92 min,Children & Family Movies_ Comedies,As his flock's annual migration nears_ a carefree goose is grounded with an injury and takes a pair of lost ducklings under his wing.
s4921,Movie,Dude,Olivia Milch,Lucy Hale_ Kathryn Prescott_ Alexandra Shipp_ Awkwafina_ Alex Wolff_ Brooke Smith_ Jerry MacKinnon_ Ronen Rubenstein_ Satya Bhabha_ Sydney Lucas,United States,20-Apr-18,2018,TV-MA,97 min,Comedies_ Dramas_ Independent Movies,Four best friends navigate loss and major life changes – and smoke a lot of weed – during their last two weeks of high school.
s931,Movie,Due Date,Todd Phillips,Robert Downey Jr._ Zach Galifianakis_ Michelle Monaghan_ Jamie Foxx_ Juliette Lewis_ Danny McBride_ RZA_ Matt Walsh,United States,1-May-21,2010,R,95 min,Action & Adventure_ Comedies,"Days before his pregnant wife's due date_ Peter lands on the ""no-fly"" list_ forcing him to drive across the country with an irritating slacker."
s6653,TV Show,Dueños del paraíso,,Kate del Castillo_ Jorge Zabaleta_ José María Torre_ Tony Dalton_ Géraldine Bazán_ Ximena Duque_ Adriana Barraza_ Juan Pablo Llano_ Daniela Wong_ Tiago Correa_ Margarita Muñoz_ Miguel Varoni_ Ariel Texido_ María Luisa Flores_ Alberto Jiménez_ Andrea López_ Maxi Iglesias_ Jorge Hernández_ Alberto Mateo_ Sofía Lama,United States_ Chile,25-Feb-17,2015,TV-14,1 Season,Crime TV Shows_ International TV Shows_ Spanish-Language TV Shows,When Anastasia Cardona's drug lord husband is murdered_ she inherits his cocaine empire_ leading to a life of wealth_ power_ violence and betrayal.
s6654,Movie,Dukhtar,Afia Nathaniel,Samiya Mumtaz_ Mohib Mirza_ Saleha Aref_ Asif Khan_ Adnan Shah_ Ajab Gul_ Abdullah Jan_ Samina Ahmad_ Omair Rana_ Zeeshan Shafa,Pakistan_ Norway_ United States,1-Sep-16,2014,TV-14,93 min,Dramas_ Independent Movies_ International Movies,A young mother embarks on a desperate quest for freedom when she kidnaps her 10-year-old daughter to save her from a tribal marriage.
s6655,Movie,Dum,Eeshwar Nivas,Vivek Oberoi_ Diya Mirza_ Atul Kulkarni_ Govind Namdeo_ Mukesh Rishi_ Sushant Singh_ Yashpal Sharma_ Sheeba,India,1-Mar-18,2003,TV-14,162 min,Action & Adventure_ Dramas_ International Movies,When one of his colleagues becomes corrupted by power and goes over to the dark side_ a young police officer tries to bring the offender to justice.
s6656,Movie,Dumb and Dumberer: When Harry Met Lloyd,Troy Miller,Eric Christian Olsen_ Derek Richardson_ Rachel Nichols_ Cheri Oteri_ Luis Guzmán_ Elden Henson_ William Lee Scott_ Mimi Rogers_ Eugene Levy,United States,1-Oct-19,2003,PG-13,85 min,Comedies,This wacky prequel to the 1994 blockbuster goes back to the lame-brained title characters' days as classmates at a Rhode Island high school.
s4318,Movie,Dumplin',Anne Fletcher,Danielle Macdonald_ Jennifer Aniston_ Odeya Rush_ Maddie Baillio_ Bex Taylor-Klaus_ Luke Benward_ Georgie Flores_ Dove Cameron_ Harold Perrineau_ Kathy Najimy_ Ginger Minj_ Hilliary Begley,United States,7-Dec-18,2018,PG-13,110 min,Comedies_ Dramas_ Independent Movies,To prove a point about measuring up and fitting in_ Texas teen Willowdean Dickson enters a local pageant run by her ex-beauty queen mom.
s2722,Movie,Duniya,Ramesh Talwar,Dilip Kumar_ Rishi Kapoor_ Pran_ Amrita Singh_ Ashok Kumar_ Prem Chopra_ Amrish Puri_ Satyen Kappu_ Mac Mohan_ Javed Khan,India,1-Apr-20,1984,TV-14,170 min,Action & Adventure_ Dramas_ International Movies,A lawyer defends his childhood friend – and girlfriend's brother – in a murder case_ unaware of his own deep connection to the attorney he’s up against.
s2723,Movie,Duplicate,Mahesh Bhatt,Shah Rukh Khan_ Juhi Chawla_ Sonali Bendre_ Farida Jalal_ Mohnish Bahl_ Tiku Talsania_ Gulshan Grover_ Sharat Saxena,India,1-Apr-20,1998,TV-14,165 min,Comedies_ Dramas_ International Movies,Hilarious mix-ups and deadly encounters ensue when a convict seeks to escape authorities by assuming the identity of his doppelgänger_ a perky chef.
s1041,TV Show,Durarara!!,,Toshiyuki Toyonaga_ Miyuki Sawashiro_ Mamoru Miyano_ Kana Hanazawa_ Hiroshi Kamiya_ Daisuke Ono_ Jun Fukuyama_ Yuichi Nakamura_ Yuki Kaji_ Ayahi Takagaki_ Kazuma Horie_ Sanae Kobayashi_ Takaya Kuroda_ Kari Wahlgren_ Darrel Guilbeau_ Bryce Papenbrook_ Michelle Ruff_ Johnny Yong Bosch_ Crispin Freeman_ Yuri Lowenthal_ Steve Blum,Japan,15-Apr-21,2016,TV-MA,1 Season,Anime Series_ Crime TV Shows_ International TV Shows,A young man looking for excitement moves to Ikebukuro_ a district in Tokyo_ where he finds a world of mystery in which the past and present mesh.
s4565,Movie,Dushman,Shagufta Rafique,Kartar Cheema_ Jashan Singh_ Sakshi Gulati_ Gulshan Grover_ Savita Bhatti_ Yashpal Sharma_ Mohit Sharma_ Sukhwinder Sohi,,1-Oct-18,2017,TV-14,141 min,Dramas_ International Movies,An Indian hotel waiter forms an unlikely bond with a Pakistani colleague when the establishment’s criminal owner threatens to ruin both their lives.
s3812,Movie,Dying to Tell,Hernán Zin,,Spain,17-May-19,2018,TV-MA,88 min,Documentaries_ International Movies,Seeking answers after a life-changing incident in 2012_ filmmaker Hernán Zin interviews other war reporters about the personal toll of their work.
s2474,TV Show,Dynasty,,Elizabeth Gillies_ Nathalie Kelley_ Grant Show_ James Mackay_ Rafael De La Fuente_ Alan Dale_ Sam Adegoke_ Robert Christopher Riley,United States,23-May-20,2019,TV-14,3 Seasons,TV Dramas,The Carringtons and the Colbys feud for control over their fortune – and their children – in this updated reboot of the classic prime-time soap.
s571,Movie,Dynasty Warriors,Chow Hin Yeung Roy,Wang Kai_ Louis Koo_ Han Geng_ Tony Yang_ Carina Lau_ NaZha_ Lam Suet_ Justin Cheung_ Ray Lui_ Yuan Wenkang,,1-Jul-21,2021,TV-14,118 min,Action & Adventure_ International Movies,"Warlords_ warriors and statesmen wage a battle for supremacy in this fantasy tale based on the hit video games and the ""Romance of the Three Kingdoms."""
s6657,Movie,E-Cigarettes: Miracle or Menace?,Emma Hatherley,Michael Mosley,United Kingdom,1-Feb-19,2016,TV-14,52 min,Documentaries,This documentary investigates the surge in vaping culture and whether e-cigarettes can really help smokers kick the habit.
s5927,Movie,E-Team,Katy Chevigny_ Ross Kauffman,,United States,24-Oct-14,2014,TV-MA,90 min,Documentaries,The courageous investigators of Human Rights Watch's Emergencies Team risk their lives to document unlawful attacks on civilians by brutal dictators.
s2669,Movie,Earth and Blood,Julien Leclercq,Sami Bouajila_ Eriq Ebouaney_ Samy Seghir_ Sofia Lesaffre,France_ Belgium,17-Apr-20,2020,TV-MA,81 min,Dramas_ International Movies_ Thrillers,A sawmill owner and his teenage daughter become tangled in a deadly feud when a drug dealer stashes stolen cocaine on their remote property.
s6658,Movie,Earth to Echo,Dave Green,Teo Halm_ Astro_ Reese Hartwig_ Ella Wahlestedt_ Jason Gray-Stanford_ Algee Smith_ Cassius Willis_ Sonya Leslie_ Kerry O'Malley_ Virginia Louise Smith_ Peter Mackenzie_ Valerie Wildman,United States,1-Oct-19,2014,PG,91 min,Children & Family Movies_ Sci-Fi & Fantasy,When a construction project begins in their neighborhood_ four friends start receiving bizarre encoded text messages on their cell phones.
s6659,TV Show,Earth to Luna!,,Angelina Carballo_ Raul-Gomez Pina_ Eric Anderson,Brazil,10-Apr-20,2014,TV-Y,1 Season,Kids' TV,Curious about everything and excited about science_ 6-year-old Luna_ her brother Jupiter and pet Clyde explore nature to learn about the world.
s6660,TV Show,Earth's Natural Wonders,,Olivia Colman,United Kingdom,1-Mar-17,2015,TV-PG,1 Season,British TV Shows_ Docuseries_ Science & Nature TV,Earth's most sublime landscapes can also be the most forbidding. Discover how inhabitants survive and flourish in our planet's harshest environments.
s6661,TV Show,Earth's Natural Wonders: Life at the Extremes,,Corey Johnson,,1-Oct-18,2018,TV-14,1 Season,British TV Shows_ Docuseries_ Science & Nature TV,From the Arctic to the Outback_ humans battle the elements and use their ingenuity to survive in the most extreme environments in the world.
s3265,Movie,Earthquake Bird,Wash Westmoreland,Alicia Vikander_ Riley Keough_ Naoki Kobayashi_ Jack Huston_ Kiki Sukezane_ Yoshiko Sakuma_ Ken Yamamura_ Kazuhiro Muroyama_ Akiko Iwase_ Crystal Kay,United Kingdom_ Japan_ United States,15-Nov-19,2019,R,107 min,Dramas_ Romantic Movies,In 1980s Tokyo_ an enigmatic expat is suspected of killing her friend_ who's gone missing in the wake of their love triangle with a local photographer.
s6662,Movie,East Side Sushi,Anthony Lucero,Diana Elizabeth Torres_ Yutaka Takeuchi_ Rodrigo Duarte Clark_ Kaya Jade Aguirre_ Roji Oyama_ Lane Nishikawa_ Miyoko Sakatani,United States,15-Sep-20,2015,PG,106 min,Dramas,She’s not the usual candidate for the role_ but a dogged Mexican-American mother makes it her mission to become a talented sushi chef.
s3193,TV Show,Eastsiders,,Kit Williamson_ Van Hansis_ Constance Wu_ Matthew McKelligon_ John Halbach_ Stephen Guarino,United States,1-Dec-19,2018,TV-MA,4 Seasons,TV Comedies_ TV Dramas,Cal turns to his friends for help through a hilariously dark time when he discovers that his partner Thom's been cheating on him.
s3836,TV Show,Easy,,Aubrey Plaza_ Judy Greer_ Jane Adams_ Zazie Beetz_ Kate Berlant_ Aya Cash_ Michael Chernus_ Kiersey Clemons_ Orlando Bloom_ Malin Akerman_ Marc Maron_ Dave Franco_ Hannibal Buress_ Jake Johnson_ Emily Ratajkowski_ Andrew Bachelor,United States,10-May-19,2019,TV-MA,3 Seasons,TV Comedies_ TV Dramas,This eclectic_ star-studded anthology follows diverse Chicagoans fumbling through the modern maze of love_ sex_ technology and culture.
s6663,Movie,Easy A,Will Gluck,Emma Stone_ Penn Badgley_ Amanda Bynes_ Dan Byrd_ Thomas Haden Church_ Patricia Clarkson_ Cam Gigandet_ Lisa Kudrow_ Malcolm McDowell_ Aly Michalka,United States,1-Nov-20,2010,PG-13,92 min,Comedies_ Romantic Movies,When a lie about Olive's reputation transforms her from anonymous to infamous at her high school_ she decides to embrace a provocative new persona.
s6664,TV Show,Easy Fortune Happy Life,,Lan Cheng-lung_ Joe Chen_ Roy Chiu_ Jocelyn Wang_ Chieh-kai Shiou_ Ting Chiang_ Wang Chuan,Taiwan,1-Sep-16,2009,TV-MA,1 Season,International TV Shows_ Romantic TV Shows_ TV Comedies,Years after a wealthy man is healed by a rural herbalist_ fate lands him in the same hospital where the woman's granddaughter is treating patients.
s6665,Movie,Eat Pray Love,Ryan Murphy,Julia Roberts_ James Franco_ Javier Bardem_ Richard Jenkins_ Viola Davis_ Billy Crudup_ Hadi Subiyanto_ Mike O'Malley_ Tuva Novotny_ Luca Argentero,United States,10-Sep-19,2010,PG-13,140 min,Dramas_ Romantic Movies,After deciding to reshape her life after divorce_ Liz travels around the world in search of good food_ spirituality and true love.
s4189,Movie,Echcharikkai,Sarjun,Sathyaraj_ Varalakshmi Sarathkumar_ Kishore Kumar G._ Vivek Rajgopal_ Jayakumar_ Yogi Babu_ Soundar_ L. Alice,India,15-Jan-19,2018,TV-14,127 min,International Movies_ Thrillers,After kidnapping a millionaire’s daughter_ two men get swept up in a power struggle as her father enlists a brilliant cop to hunt them down.
s3384,Movie,Echo in the Canyon,Andrew Slater,Jakob Dylan_ Ringo Starr_ Michelle Phillips_ Stephen Stills_ Regina Spektor_ Beck_ Eric Clapton_ Tom Petty_ Jackson Browne_ Norah Jones,United States,24-Oct-19,2019,PG-13,82 min,Documentaries_ Music & Musicals,An affectionate documentary looks back at the mid-1960s_ when Hollywood’s Laurel Canyon was a creative nexus for young_ innovative musicians.
s5667,Movie,Eddie - Strongman,Matt Bell,Eddie Hall,United Kingdom,15-Dec-16,2015,TV-MA,98 min,Documentaries_ Sports Movies,British strongman Eddie Hall wants to be the strongest man in the world. This documentary reveals the grueling life choices that fuel his obsession.
s6666,Movie,Eddie Murphy: Delirious,Bruce Gowers,Eddie Murphy,United States,15-Apr-18,1983,TV-MA,69 min,Stand-Up Comedy,Flashing the wild stand-up comedy that made him a household name_ Eddie Murphy unleashes uncensored observations and parodies in this 1983 live show.
s1451,Movie,Eddie Murphy: Raw,Robert Townsend,Eddie Murphy,United States,1-Jan-21,1987,R,90 min,Stand-Up Comedy,This stand-up comedy classic features Eddie Murphy live in a provocative series of impressions_ observations and remembrances of his childhood.
s836,TV Show,Eden,,Marika Kono_ Kentaro Ito_ Kyoko Hikami_ Tarusuke Shingaki_ Koichi Yamadera_ Yuuki Kuwahara_ Yuhko Kaida_ Ruby Rose Turner_ David Tennant_ Rosario Dawson_ JP Karliak_ Neil Patrick Harris_ Cassandra Lee Morris_ Julie Nathanson,,27-May-21,2021,TV-PG,1 Season,Anime Series_ International TV Shows,A human girl secretly raised by robots starts to uncover the dark secrets behind her lush_ utopian world where humanity has all but vanished.
s220,TV Show,EDENS ZERO,,Takuma Terashima_ Mikako Komatsu_ Rie Kugimiya_ Hiromichi Tezuka_ Shiori Izawa_ Shiki Aoki_ Sayaka Ohara_ Hochu Otsuka_ Kikuko Inoue,Japan,26-Aug-21,2021,TV-14,1 Season,Anime Series_ International TV Shows,Aboard the Edens Zero_ a lonely boy with the ability to control gravity embarks on an adventure to meet the fabled space goddess known as Mother.
s4512,TV Show,Edgar Rice Burroughs' Tarzan and Jane,,Marci T. House_ Michael Dobson_ Omari Newton_ Paul Dobson_ Rebecca Shoichet_ Giles Panton_ Kathleen Barr_ Doron Bell,,12-Oct-18,2018,TV-Y7,2 Seasons,Crime TV Shows_ Kids' TV,Saved from a plane crash and given supernatural powers_ teen Tarzan joins forces with brave city girl Jane to protect his jungle home from threats.
s4435,Movie,Edge of Fear,Bobby Roth,Shen Lin_ Robert Patrick_ Zhu Zhu_ Jodi Lyn O'Keefe_ Robert Knepper_ Amaury Nolasco_ Rockmond Dunbar_ Andy Mackenzie_ Robert Crayton_ John Edward Lee_ Trent Brya,United States,1-Nov-18,2018,TV-MA,92 min,Independent Movies_ Thrillers,During a wilderness getaway_ a gang of sociopathic criminals kidnap a woman and assault her husband_ who must summon all his strength to save her.
s2091,Movie,Edge of Seventeen,David Moreton,Chris Stafford_ Tina Holmes_ Andersen Gabrych_ Stephanie McVay_ Lea DeLaria_ John Eby_ Antonio Carriero_ Jason Lockhart,United States,27-Aug-20,1998,TV-MA,103 min,Comedies_ Dramas_ Independent Movies,A 17-year-old confronts confusion and heartbreak as he rediscovers his sexuality in this story about coming out and its social consequences.
s5824,TV Show,Edge of the Universe,,,United Kingdom,1-Aug-16,2008,TV-G,1 Season,British TV Shows_ Docuseries_ Science & Nature TV,Leading astronomers reveal the latest discoveries about death-trap planets_ asteroids_ comets and other wonders of the cosmos.
s4979,TV Show,Edha,,Juana Viale_ Andrés Velencoso_ Delfina Chaves_ Osmar Nuñez_ Germán Palacios_ Juan Pablo Geretto_ Sofía Gala_ Daniel Pacheco_ Daniel Hendler_ Flavio Mendoza,Argentina,16-Mar-18,2018,TV-MA,1 Season,International TV Shows_ Spanish-Language TV Shows_ TV Dramas,Revenge_ passion and dark secrets push a successful fashion designer and single mother to her limits when she meets a handsome and mysterious man.
